iter	Passed	Remaining
278	5749	45767
279	5769	45741
280	5787	45701
281	5806	45667
282	5824	45630
283	5845	45607
284	5866	45593
285	5884	45556
286	5906	45540
287	5925	45512
288	5946	45496
289	5967	45478
290	5989	45468
291	6008	45433
292	6027	45399
293	6047	45373
294	6068	45359
295	6091	45354
296	6111	45330
297	6133	45324
298	6153	45294
299	6174	45279
300	6198	45284
301	6219	45266
302	6238	45231
303	6257	45203
304	6276	45171
305	6296	45145
306	6319	45140
307	6341	45129
308	6367	45146
309	6388	45132
310	6410	45119
311	6435	45133
312	6456	45113
313	6478	45102
314	6498	45079
315	6517	45047
316	6540	45040
317	6559	45007
318	6579	44985
319	6603	44985
320	6619	44935
321	6637	44896
322	6656	44867
323	6676	44838
324	6696	44816
325	6715	44786
326	6737	44769
327	6758	44752
328	6776	44719
329	6797	44696
330	6815	44660
331	6834	44629
332	6853	44600
333	6876	44592
334	6895	44563
335	6914	44534
336	6932	44494
337	6949	44451
338	6969	44425
339	6987	44394
340	7006	44362
341	7027	44340
342	7045	44308
343	7064	44278
344	7086	44267
345	7105	44234
346	7122	44194
347	7141	44162
348	7160	44131
349	7183	44127
350	7203	44103
351	7223	44082
352	7244	44060
353	7263	44030
354	7282	44005
355	7302	43976
356	7320	43944
357	7340	43917
358	7362	43906
359	7382	43882
360	7402	43860
361	7421	43833
362	7442	43814
363	7461	43787
364	7482	43769
365	7501	43740
366	7521	43713
367	7540	43684
368	7559	43658
369	7581	43642
370	7602	43626
371	7620	43594
372	7638	43556
373	7655	43520
374	7677	43504
375	7695	43471
376	7716	43453
377	7734	43417
378	7753	43390
379	7772	43360
380	7793	43345
381	7812	43315
382	7833	43299
383	7859	43309
384	7882	43302
385	7903	43285
386	7923	43259
387	7943	43240
388	7966	43232
389	7989	43222
390	8013	43226
391	8035	43210
392	8055	43189
393	8076	43168
394	8096	43147
395	8115	43120
396	8147	43157
397	8173	43169
398	8194	43151
399	8217	43143
400	8237	43118
401	8257	43096
402	8276	43067
403	8297	43047
