iter	Passed	Remaining
706	33451	13863
707	33497	13815
708	33542	13767
709	33579	13715
710	33623	13666
711	33664	13617
712	33714	13570
713	33758	13522
714	33800	13473
715	33846	13425
716	33887	13375
717	33926	13324
718	33973	13277
719	34015	13228
720	34062	13181
721	34108	13133
722	34149	13083
723	34193	13035
724	34245	12989
725	34286	12940
726	34325	12889
727	34381	12845
728	34428	12798
729	34477	12752
730	34522	12703
731	34562	12653
732	34609	12606
733	34654	12558
734	34703	12512
735	34744	12462
736	34791	12415
737	34833	12366
738	34879	12318
739	34925	12271
740	34971	12223
741	35016	12175
742	35060	12127
743	35110	12080
744	35155	12033
745	35197	11984
746	35241	11935
747	35296	11891
748	35349	11846
749	35417	11805
750	35472	11761
751	35551	11724
752	35596	11676
753	35641	11628
754	35686	11580
755	35730	11531
756	35779	11485
757	35826	11437
758	35874	11390
759	35918	11342
760	35961	11293
761	36004	11245
762	36048	11197
763	36098	11150
764	36148	11104
765	36187	11054
766	36245	11010
767	36287	10961
768	36337	10915
769	36378	10866
770	36425	10818
771	36469	10770
772	36518	10724
773	36565	10676
774	36609	10628
775	36656	10581
776	36701	10533
777	36744	10485
778	36789	10437
779	36831	10388
780	36878	10341
781	36924	10293
782	36968	10245
783	37009	10196
784	37052	10148
785	37099	10100
786	37144	10053
787	37192	10006
788	37250	9961
789	37303	9916
790	37355	9870
791	37413	9825
792	37467	9780
793	37513	9732
794	37559	9685
795	37606	9637
796	37658	9591
797	37710	9545
798	37758	9498
799	37807	9451
800	37858	9405
801	37910	9359
802	37954	9311
803	38003	9264
804	38048	9216
805	38096	9169
806	38135	9120
807	38179	9072
808	38222	9024
809	38271	8977
810	38318	8929
811	38365	8882
812	38411	8835
813	38454	8786
814	38503	8740
815	38547	8692
816	38598	8645
817	38639	8596
818	38687	8549
819	38734	8502
820	38776	8454
821	38816	8405
822	38860	8357
823	38903	8309
824	38950	8262
825	38996	8214
826	39034	8165
827	39079	8117
828	39130	8071
829	39181	8025
830	39228	7977
831	39284	7932
832	39334	7885
833	39386	7839
834	39432	7792
835	39482	7745
836	39536	7699
837	39585	7652
838	39630	7604
839	39683	7558
840	39731	7511
841	39809	7470
842	39912	7433
843	39979	7389
844	40035	7343
845	40095	7298
846	40146	7251
847	40200	7205
848	40253	7159
849	40302	7112
850	40354	7065
851	40403	7018
852	40450	6970
853	40503	6924
854	40550	6877
855	40603	6830
856	40656	6783
857	40701	6736
858	40750	6688
859	40794	6640
860	40835	6592
861	40890	6546
862	40940	6499
863	40990	6452
864	41033	6404
865	41081	6356
866	41136	6310
867	41185	6263
868	41236	6216
869	41309	6172
870	41359	6125
871	41412	6078
872	41456	6030
873	41510	5984
874	41560	5937
875	41606	5889
876	41656	5842
877	41702	5794
878	41749	5747
879	41797	5699
880	41845	5652
881	41885	5603
882	41930	5555
883	41977	5508
884	42019	5460
885	42061	5411
886	42098	5363
887	42149	5316
888	42195	5268
889	42235	5220
890	42279	5172
891	42323	5124
892	42375	5077
893	42423	5030
894	42475	4983
895	42522	4935
896	42562	4887
897	42610	4840
898	42658	4792
899	42704	4744
900	42747	4697
901	42791	4649
902	42831	4600
903	42881	4553
904	42926	4506
905	42969	4458
906	43011	4410
907	43053	4362
908	43093	4314
909	43136	4266
910	43175	4217
911	43220	4170
912	43297	4125
913	43374	4081
914	43417	4033
915	43464	3985
916	43513	3938
917	43560	3891
918	43610	3843
919	43656	3796
920	43695	3748
921	43739	3700
922	43784	3652
923	43822	3604
924	43872	3557
925	43916	3509
926	43959	3461
927	44020	3415
928	44063	3367
929	44114	3320
930	44160	3272
931	44207	3225
932	44255	3178
933	44300	3130
934	44351	3083
935	44393	3035
936	44444	2988
937	44502	2941
938	44546	2893
939	44592	2846
940	44636	2798
941	44684	2751
942	44732	2703
943	44780	2656
944	44827	2608
945	44866	2561
946	44915	2513
947	44955	2465
948	44998	2418
949	45042	2370
950	45091	2323
951	45154	2276
952	45202	2229
953	45249	2181
954	45296	2134
955	45341	2086
956	45389	2039
957	45431	1991
958	45476	1944
959	45523	1896
960	45570	1849
961	45619	1802
962	45657	1754
963	45728	1707
964	45772	1660
965	45815	1612
966	45850	1564
967	45892	1517
968	45926	1469
969	45968	1421
970	46004	1373
971	46041	1326
972	46080	1278
973	46119	1231
974	46159	1183
975	46199	1136
976	46237	1088
977	46276	1040
978	46318	993
979	46361	946
980	46404	898
981	46447	851
982	46486	803
983	46527	756
984	46567	709
985	46608	661
986	46651	614
987	46694	567
988	46734	519
989	46773	472
990	46816	425
991	46860	377
992	46903	330
993	46942	283
994	46983	236
995	47023	188
996	47064	141
997	47105	94
998	47147	47
999	47193	0
